Fields,1 Adult - 0ÊChildren,1 Adult - 1ÊChild,1 Adult - 2ÊChildren,1 Adult - 3ÊChildren,2 Adults (1 W) - 0ÊChildren,2 Adults (1 W) - 1ÊChild,2 Adults (1 W)  - 2ÊChildren,2 Adults (1 W) - 3ÊChildren,2 Adults (Both W) - 0ÊChildren,2 Adults (Both W) - 1ÊChild,2 Adults (Both W) - 2ÊChildren,2 Adults (Both W) - 3ÊChildren,Counties 
Food,"$4,540 ","$6,693 ","$10,038 ","$13,342 ","$8,323 ","$10,361 ","$13,344 ","$16,270 ","$8,323 ","$10,361 ","$13,344 ","$16,270 ",Albany County
Child Care,$0 ,"$16,230 ","$31,542 ","$45,628 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$16,230 ","$31,542 ","$45,628 ",Albany County
Medical,"$3,510 ","$8,267 ","$8,119 ","$8,732 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ","$6,167 ","$8,119 ","$8,732 ","$8,195 ",Albany County
Housing,"$12,295 ","$16,710 ","$16,710 ","$20,200 ","$13,754 ","$16,710 ","$16,710 ","$20,200 ","$13,754 ","$16,710 ","$16,710 ","$20,200 ",Albany County
Transportation,"$9,113 ","$10,547 ","$13,285 ","$15,286 ","$10,547 ","$13,285 ","$15,286 ","$15,269 ","$10,547 ","$13,285 ","$15,286 ","$15,269 ",Albany County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Albany County
Internet & Mobile,"$1,456 ","$1,456 ","$1,456 ","$1,456 ","$2,021 ","$2,021 ","$2,021 ","$2,021 ","$2,021 ","$2,021 ","$2,021 ","$2,021 ",Albany County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Albany County
Required annual income after taxes,"$38,345 ","$73,090 ","$96,207 ","$123,962 ","$54,001 ","$65,554 ","$75,410 ","$80,319 ","$54,001 ","$81,784 ","$106,952 ","$125,947 ",Albany County
Annual taxes,"$7,169 ","$11,644 ","$16,576 ","$24,844 ","$8,526 ","$9,049 ","$9,143 ","$7,970 ","$8,526 ","$12,474 ","$15,759 ","$19,806 ",Albany County
Required annual income before taxes,"$45,514 ","$84,733 ","$112,783 ","$148,806 ","$62,527 ","$74,602 ","$84,553 ","$88,289 ","$62,527 ","$94,258 ","$122,711 ","$145,754 ",Albany County
Food,"$4,225 ","$6,228 ","$9,341 ","$12,415 ","$7,745 ","$9,641 ","$12,417 ","$15,139 ","$7,745 ","$9,641 ","$12,417 ","$15,139 ",Allegany County
Child Care,$0 ,"$11,696 ","$22,768 ","$32,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,696 ","$22,768 ","$32,988 ",Allegany County
Medical,"$3,123 ","$7,101 ","$6,953 ","$7,566 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ","$5,446 ","$6,953 ","$7,566 ","$7,030 ",Allegany County
Housing,"$8,154 ","$10,916 ","$10,916 ","$13,630 ","$8,817 ","$10,916 ","$10,916 ","$13,630 ","$8,817 ","$10,916 ","$10,916 ","$13,630 ",Allegany County
Transportation,"$10,876 ","$12,587 ","$15,856 ","$18,244 ","$12,587 ","$15,856 ","$18,244 ","$18,223 ","$12,587 ","$15,856 ","$18,244 ","$18,223 ",Allegany County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Allegany County
Internet & Mobile,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ","$2,129 ",Allegany County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Allegany County
Required annual income after taxes,"$35,372 ","$63,280 ","$82,456 ","$105,725 ","$49,912 ","$60,553 ","$70,589 ","$74,515 ","$49,912 ","$72,249 ","$93,357 ","$107,504 ",Allegany County
Annual taxes,"$6,407 ","$8,857 ","$11,456 ","$17,692 ","$7,482 ","$7,771 ","$7,908 ","$6,483 ","$7,482 ","$10,031 ","$12,276 ","$13,470 ",Allegany County
Required annual income before taxes,"$41,779 ","$72,137 ","$93,912 ","$123,417 ","$57,394 ","$68,324 ","$78,497 ","$80,999 ","$57,394 ","$82,280 ","$105,633 ","$120,974 ",Allegany County
Food,"$4,540 ","$6,693 ","$10,038 ","$13,342 ","$8,323 ","$10,361 ","$13,344 ","$16,270 ","$8,323 ","$10,361 ","$13,344 ","$16,270 ",Bronx County
Child Care,$0 ,"$19,249 ","$36,909 ","$51,331 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$19,249 ","$36,909 ","$51,331 ",Bronx County
Medical,"$4,230 ","$10,433 ","$10,284 ","$10,898 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ","$7,508 ","$10,284 ","$10,898 ","$10,361 ",Bronx County
Housing,"$23,027 ","$26,559 ","$26,559 ","$33,141 ","$23,654 ","$26,559 ","$26,559 ","$33,141 ","$23,654 ","$26,559 ","$26,559 ","$33,141 ",Bronx County
Transportation,"$4,512 ","$5,222 ","$6,578 ","$7,569 ","$5,222 ","$6,578 ","$7,569 ","$7,560 ","$5,222 ","$6,578 ","$7,569 ","$7,560 ",Bronx County
Civic,"$3,013 ","$5,303 ","$6,675 ","$7,730 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ","$5,303 ","$6,675 ","$7,730 ","$7,226 ",Bronx County
Internet & Mobile,"$1,353 ","$1,353 ","$1,353 ","$1,353 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ","$1,919 ",Bronx County
Other,"$4,417 ","$7,884 ","$8,383 ","$11,588 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ","$7,884 ","$8,383 ","$11,588 ","$11,139 ",Bronx County
