Occupational Area,Typical Annual Salary,Counties
Management,"$170,150 ",Albany County
Business & Financial Operations,"$107,140 ",Albany County
Computer & Mathematical,"$117,170 ",Albany County
Architecture & Engineering,"$94,490 ",Albany County
"Life, Physical, & Social Science","$88,260 ",Albany County
Community & Social Service,"$62,520 ",Albany County
Legal,"$155,400 ",Albany County
"Education, Training, & Library","$78,630 ",Albany County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Albany County
Healthcare Practitioners & Technical,"$110,890 ",Albany County
Healthcare Support,"$38,190 ",Albany County
Protective Service,"$61,410 ",Albany County
Food Preparation & Serving Related,"$40,820 ",Albany County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Albany County
Personal Care & Service,"$44,260 ",Albany County
Sales & Related,"$66,550 ",Albany County
Office & Administrative Support,"$52,820 ",Albany County
"Farming, Fishing, & Forestry","$41,320 ",Albany County
Construction & Extraction,"$72,430 ",Albany County
"Installation, Maintenance, & Repair","$61,100 ",Albany County
Production,"$47,900 ",Albany County
Transportation & Material Moving,"$50,710 ",Albany County
Management,"$170,150 ",Allegany County
Business & Financial Operations,"$107,140 ",Allegany County
Computer & Mathematical,"$117,170 ",Allegany County
Architecture & Engineering,"$94,490 ",Allegany County
"Life, Physical, & Social Science","$88,260 ",Allegany County
Community & Social Service,"$62,520 ",Allegany County
Legal,"$155,400 ",Allegany County
"Education, Training, & Library","$78,630 ",Allegany County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Allegany County
Healthcare Practitioners & Technical,"$110,890 ",Allegany County
Healthcare Support,"$38,190 ",Allegany County
Protective Service,"$61,410 ",Allegany County
Food Preparation & Serving Related,"$40,820 ",Allegany County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Allegany County
Personal Care & Service,"$44,260 ",Allegany County
Sales & Related,"$66,550 ",Allegany County
Office & Administrative Support,"$52,820 ",Allegany County
"Farming, Fishing, & Forestry","$41,320 ",Allegany County
Construction & Extraction,"$72,430 ",Allegany County
"Installation, Maintenance, & Repair","$61,100 ",Allegany County
Production,"$47,900 ",Allegany County
Transportation & Material Moving,"$50,710 ",Allegany County
Management,"$170,150 ",Bronx County
Business & Financial Operations,"$107,140 ",Bronx County
Computer & Mathematical,"$117,170 ",Bronx County
Architecture & Engineering,"$94,490 ",Bronx County
"Life, Physical, & Social Science","$88,260 ",Bronx County
Community & Social Service,"$62,520 ",Bronx County
Legal,"$155,400 ",Bronx County
"Education, Training, & Library","$78,630 ",Bronx County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Bronx County
Healthcare Practitioners & Technical,"$110,890 ",Bronx County
Healthcare Support,"$38,190 ",Bronx County
Protective Service,"$61,410 ",Bronx County
Food Preparation & Serving Related,"$40,820 ",Bronx County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Bronx County
Personal Care & Service,"$44,260 ",Bronx County
Sales & Related,"$66,550 ",Bronx County
Office & Administrative Support,"$52,820 ",Bronx County
"Farming, Fishing, & Forestry","$41,320 ",Bronx County
Construction & Extraction,"$72,430 ",Bronx County
"Installation, Maintenance, & Repair","$61,100 ",Bronx County
Production,"$47,900 ",Bronx County
Transportation & Material Moving,"$50,710 ",Bronx County
Management,"$170,150 ",Broome County
Business & Financial Operations,"$107,140 ",Broome County
Computer & Mathematical,"$117,170 ",Broome County
Architecture & Engineering,"$94,490 ",Broome County
"Life, Physical, & Social Science","$88,260 ",Broome County
Community & Social Service,"$62,520 ",Broome County
Legal,"$155,400 ",Broome County
"Education, Training, & Library","$78,630 ",Broome County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Broome County
Healthcare Practitioners & Technical,"$110,890 ",Broome County
Healthcare Support,"$38,190 ",Broome County
Protective Service,"$61,410 ",Broome County
Food Preparation & Serving Related,"$40,820 ",Broome County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Broome County
Personal Care & Service,"$44,260 ",Broome County
Sales & Related,"$66,550 ",Broome County
Office & Administrative Support,"$52,820 ",Broome County
"Farming, Fishing, & Forestry","$41,320 ",Broome County
Construction & Extraction,"$72,430 ",Broome County
"Installation, Maintenance, & Repair","$61,100 ",Broome County
Production,"$47,900 ",Broome County
Transportation & Material Moving,"$50,710 ",Broome County
Management,"$170,150 ",Cattaraugus County
Business & Financial Operations,"$107,140 ",Cattaraugus County
Computer & Mathematical,"$117,170 ",Cattaraugus County
Architecture & Engineering,"$94,490 ",Cattaraugus County
"Life, Physical, & Social Science","$88,260 ",Cattaraugus County
Community & Social Service,"$62,520 ",Cattaraugus County
Legal,"$155,400 ",Cattaraugus County
"Education, Training, & Library","$78,630 ",Cattaraugus County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Cattaraugus County
Healthcare Practitioners & Technical,"$110,890 ",Cattaraugus County
Healthcare Support,"$38,190 ",Cattaraugus County
Protective Service,"$61,410 ",Cattaraugus County
Food Preparation & Serving Related,"$40,820 ",Cattaraugus County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Cattaraugus County
Personal Care & Service,"$44,260 ",Cattaraugus County
Sales & Related,"$66,550 ",Cattaraugus County
Office & Administrative Support,"$52,820 ",Cattaraugus County
"Farming, Fishing, & Forestry","$41,320 ",Cattaraugus County
Construction & Extraction,"$72,430 ",Cattaraugus County
"Installation, Maintenance, & Repair","$61,100 ",Cattaraugus County
Production,"$47,900 ",Cattaraugus County
Transportation & Material Moving,"$50,710 ",Cattaraugus County
Management,"$170,150 ",Cayuga County
Business & Financial Operations,"$107,140 ",Cayuga County
Computer & Mathematical,"$117,170 ",Cayuga County
Architecture & Engineering,"$94,490 ",Cayuga County
"Life, Physical, & Social Science","$88,260 ",Cayuga County
Community & Social Service,"$62,520 ",Cayuga County
Legal,"$155,400 ",Cayuga County
"Education, Training, & Library","$78,630 ",Cayuga County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Cayuga County
Healthcare Practitioners & Technical,"$110,890 ",Cayuga County
Healthcare Support,"$38,190 ",Cayuga County
Protective Service,"$61,410 ",Cayuga County
Food Preparation & Serving Related,"$40,820 ",Cayuga County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Cayuga County
Personal Care & Service,"$44,260 ",Cayuga County
Sales & Related,"$66,550 ",Cayuga County
Office & Administrative Support,"$52,820 ",Cayuga County
"Farming, Fishing, & Forestry","$41,320 ",Cayuga County
Construction & Extraction,"$72,430 ",Cayuga County
"Installation, Maintenance, & Repair","$61,100 ",Cayuga County
Production,"$47,900 ",Cayuga County
Transportation & Material Moving,"$50,710 ",Cayuga County
Management,"$170,150 ",Chautauqua County
Business & Financial Operations,"$107,140 ",Chautauqua County
Computer & Mathematical,"$117,170 ",Chautauqua County
Architecture & Engineering,"$94,490 ",Chautauqua County
"Life, Physical, & Social Science","$88,260 ",Chautauqua County
Community & Social Service,"$62,520 ",Chautauqua County
Legal,"$155,400 ",Chautauqua County
"Education, Training, & Library","$78,630 ",Chautauqua County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Chautauqua County
Healthcare Practitioners & Technical,"$110,890 ",Chautauqua County
Healthcare Support,"$38,190 ",Chautauqua County
Protective Service,"$61,410 ",Chautauqua County
Food Preparation & Serving Related,"$40,820 ",Chautauqua County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Chautauqua County
Personal Care & Service,"$44,260 ",Chautauqua County
Sales & Related,"$66,550 ",Chautauqua County
Office & Administrative Support,"$52,820 ",Chautauqua County
"Farming, Fishing, & Forestry","$41,320 ",Chautauqua County
Construction & Extraction,"$72,430 ",Chautauqua County
"Installation, Maintenance, & Repair","$61,100 ",Chautauqua County
Production,"$47,900 ",Chautauqua County
Transportation & Material Moving,"$50,710 ",Chautauqua County
Management,"$170,150 ",Chemung County
Business & Financial Operations,"$107,140 ",Chemung County
Computer & Mathematical,"$117,170 ",Chemung County
Architecture & Engineering,"$94,490 ",Chemung County
"Life, Physical, & Social Science","$88,260 ",Chemung County
Community & Social Service,"$62,520 ",Chemung County
Legal,"$155,400 ",Chemung County
"Education, Training, & Library","$78,630 ",Chemung County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Chemung County
Healthcare Practitioners & Technical,"$110,890 ",Chemung County
Healthcare Support,"$38,190 ",Chemung County
Protective Service,"$61,410 ",Chemung County
Food Preparation & Serving Related,"$40,820 ",Chemung County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Chemung County
Personal Care & Service,"$44,260 ",Chemung County
Sales & Related,"$66,550 ",Chemung County
Office & Administrative Support,"$52,820 ",Chemung County
"Farming, Fishing, & Forestry","$41,320 ",Chemung County
Construction & Extraction,"$72,430 ",Chemung County
"Installation, Maintenance, & Repair","$61,100 ",Chemung County
Production,"$47,900 ",Chemung County
Transportation & Material Moving,"$50,710 ",Chemung County
Management,"$170,150 ",Chenango County
Business & Financial Operations,"$107,140 ",Chenango County
Computer & Mathematical,"$117,170 ",Chenango County
Architecture & Engineering,"$94,490 ",Chenango County
"Life, Physical, & Social Science","$88,260 ",Chenango County
Community & Social Service,"$62,520 ",Chenango County
Legal,"$155,400 ",Chenango County
"Education, Training, & Library","$78,630 ",Chenango County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Chenango County
Healthcare Practitioners & Technical,"$110,890 ",Chenango County
Healthcare Support,"$38,190 ",Chenango County
Protective Service,"$61,410 ",Chenango County
Food Preparation & Serving Related,"$40,820 ",Chenango County
Building & Grounds Cleaning & Maintenance,"$42,720 ",Chenango County
Personal Care & Service,"$44,260 ",Chenango County
Sales & Related,"$66,550 ",Chenango County
Office & Administrative Support,"$52,820 ",Chenango County
"Farming, Fishing, & Forestry","$41,320 ",Chenango County
Construction & Extraction,"$72,430 ",Chenango County
"Installation, Maintenance, & Repair","$61,100 ",Chenango County
Production,"$47,900 ",Chenango County
Transportation & Material Moving,"$50,710 ",Chenango County
Management,"$170,150 ",Clinton County
Business & Financial Operations,"$107,140 ",Clinton County
Computer & Mathematical,"$117,170 ",Clinton County
Architecture & Engineering,"$94,490 ",Clinton County
"Life, Physical, & Social Science","$88,260 ",Clinton County
Community & Social Service,"$62,520 ",Clinton County
Legal,"$155,400 ",Clinton County
"Education, Training, & Library","$78,630 ",Clinton County
"Arts, Design, Entertainment, Sports, & Media","$96,370 ",Clinton County
Healthcare Practitioners & Technical,"$110,890 ",Clinton County
Healthcare Support,"$38,190 ",Clinton County
Protective Service,"$61,410 ",Clinton County
